Prodn Code,Part Name,Finish L,Finish B,Finish T,Order Quantity,Part Code,Barcode 1,Barcode 2,Part Material,Surface Top,Surface Bottom,EB Thickness,Edge Bottom,Edge Right,Edge Top,Edge Left,Grain,Grain Desc,Grain Prodn,Cutting L,Cutting B,Cutting T,Grain Path,Drill Info,Carcass or Shutter,Vendor Name,Multi Part ID,Annotation,Order Name,Sales Order,SKU Code,Order Start Date,Order Due Date,Customer Name,Handle Type,Vendor HW,Room,Part Count,Shutter Design,Store Name,Handle Side,Batch Number,Weight,Routing Number,Laying Number,Carton Number,Part Count per carton,Type of Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,LEFT SIDE PANEL,720,560,18,1,REG2297990000001,001127800352810000001A,001127800352810000001B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,720,560,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,1,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,RIGHT SIDE PANEL,720,560,18,1,REG2297990000002,001127800352810000002A,001127800352810000002B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,720,560,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,2,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,BOTTOM PANEL,564,554,18,1,REG2297990000003,001127800352810000003A,001127800352810000003B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,564,554,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,3,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,TOP,564,554,18,1,REG2297990000004,001127800352810000004A,001127800352810000004B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,564,554,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,4,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,BACK PANEL,701,581,5.5,1,REG2297990000005,001127800352810000005A,001127800352810000005B,5.5MM-HDHMR-OSR-KINGSTONE WHITE,WOODY TAN,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,701,581,5.5,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,5,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000006,001127800352810000006A,001127800352810000006B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B02 ,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,6,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000007,001127800352810000007A,001127800352810000007B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B03 ,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,7,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000008,001127800352810000008A,001127800352810000008B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B11,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,8,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,LEFT SIDE PANEL,1960,560,18,1,REG2297990000009,001127800352810000009A,001127800352810000009B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1960,560,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,9,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,RIGHT SIDE PANEL,1960,560,18,1,REG2297990000010,001127800352810000010A,001127800352810000010B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1960,560,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,10,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,BOTTOM PANEL,882,882,18,1,REG2297990000011,001127800352810000011A,001127800352810000011B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,882,882,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,11,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,TOP PANEL,882,882,18,1,REG2297990000012,001127800352810000012A,001127800352810000012B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,882,882,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,12,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,BACK PANEL 1,1924,882,18,1,REG2297990000013,001127800352810000013A,001127800352810000013B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,-,-,-,-,-,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1924,882,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,13,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,BACK PANEL 2,1941,871,5.5,1,REG2297990000014,001127800352810000014A,001127800352810000014B,5.5MM-HDHMR-OSL-CASPANI,KINGSTON WHITE,KINGSTON WHITE,-,-,-,-,-,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1941,871,5.5,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,14,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,SHELF-1,861,853,18,1,REG2297990000015,001127800352810000015A,001127800352810000015B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,861,853,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,15,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,SHELF-2,861,853,18,1,REG2297990000016,001127800352810000016A,001127800352810000016B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,861,853,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,16,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,SHELF-3,861,853,18,1,REG2297990000017,001127800352810000017A,001127800352810000017B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,861,853,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,17,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,SHELF-4,861,853,18,1,REG2297990000018,001127800352810000018A,001127800352810000018B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,861,853,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,18,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,FIXED SHELF,861,853,18,1,REG2297990000019,001127800352810000019A,001127800352810000019B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,861,853,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,19,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,TOP SHUTTER-LH,1240,333,18,1,REG2297990000020,001127800352810000020A,001127800352810000020B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1240,333,18,-,SWKTTA7747,SHUTTER,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,SPACEWOOD SOFT CLOSE HINGES,-,20,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,BOTTOM SHUTTER-LH,716,333,18,1,REG2297990000021,001127800352810000021A,001127800352810000021B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,716,333,18,-,SWKTTA7747,SHUTTER,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,SPACEWOOD SOFT CLOSE HINGES,-,21,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,TOP SHUTTER-RH,1240,316,18,1,REG2297990000022,001127800352810000022A,001127800352810000022B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1240,316,18,-,SWKTTA7747,SHUTTER,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,SPACEWOOD SOFT CLOSE HINGES,-,22,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,BOTTOM SHUTTER-RH,713,316,18,1,REG2297990000023,001127800352810000023A,001127800352810000023B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,713,316,18,-,SWKTTA7747,SHUTTER,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,ALU. HANDLE H-33,SPACEWOOD SOFT CLOSE HINGES,-,23,EDGE PROFILE-H-33,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,LEFT SIDE PANEL,810,560,18,1,REG2297990000024,001127800352810000024A,001127800352810000024B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,810,560,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,24,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,RIGHT SIDE PANEL,810,560,18,1,REG2297990000025,001127800352810000025A,001127800352810000025B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,810,560,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,25,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,TOP PATTI 1,1014,80,18,1,REG2297990000026,001127800352810000026A,001127800352810000026B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,1012.4,78.4,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,26,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,TOP PATTI 2,1014,80,18,1,REG2297990000027,001127800352810000027A,001127800352810000027B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,1012.4,78.4,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,27,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,BOT PATTI 1,1014,80,18,1,REG2297990000028,001127800352810000028A,001127800352810000028B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,1012.4,78.4,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,28,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,COVER PANAL,810,450,18,1,REG2297990000029,001127800352810000029A,001127800352810000029B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,810,450,18,-,SWKTML4404,CARCASS,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,29,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,FILLER,810,150,18,1,REG2297990000030,001127800352810000030A,001127800352810000030B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,810,150,18,-,SWKTML4404,SHUTTER,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,30,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSCCMCCHMNXXXXXAIXXASJ-07201050180560,RH-SHUTTER,716,447,18,1,REG2297990000031,001127800352810000031A,001127800352810000031B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,SPECIAL BLIND BASE UNIT WITH 1 SHUTTER TO ACCOMMODATE DOMESTIC GAS CYLINDER-LBD,7.20E+12,713,447,18,-,SWKTML4404,SHUTTER,ASSEMBLE,8,B05,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,ALU. HANDLE H-33,SPACEWOOD SOFT CLOSE HINGES,-,31,EDGE PROFILE-H-33,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDKMDKHMNXXXXXXXXXNAD-07200200180560,LEFT SIDE PANEL,720,560,18,1,REG2297990000032,001127800352810000032A,001127800352810000032B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,ONE FRONT PULLOUT WITH S.S.-304 WIRE BASKETS-3 NOS,7.20E+12,720,560,18,-,SWKTML5049,CARCASS,ASSEMBLE,7,B06,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,32,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDKMDKHMNXXXXXXXXXNAD-07200200180560,RIGHT SIDE PANEL,720,560,18,1,REG2297990000033,001127800352810000033A,001127800352810000033B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,ONE FRONT PULLOUT WITH S.S.-304 WIRE BASKETS-3 NOS,7.20E+12,720,560,18,-,SWKTML5049,CARCASS,ASSEMBLE,7,B06,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,33,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDKMDKHMNXXXXXXXXXNAD-07200200180560,BOTTOM PANEL,164,554,18,1,REG2297990000034,001127800352810000034A,001127800352810000034B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,ONE FRONT PULLOUT WITH S.S.-304 WIRE BASKETS-3 NOS,7.20E+12,164,554,18,-,SWKTML5049,CARCASS,ASSEMBLE,7,B06,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,34,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
